soldado,soldier
raton,mouse
ingles,english
español,spanish
futbol,football
perro,dog
ventana,windows
navidad,chrismas
año,year
palabra,word
pajaro,bird
pingüino,penguin
coche,car
verano,summer
lista,list
juego,game
fecha,date
turista,turis
tostada,toast
gato,cat
moneda,coin
pedriodico,newspaper
niño,children
monedero,purse
alfombra,carpet
mascara,mask
calle,street
cuidado,careful
adolescente,teenager
pintura,paint
pagagüas,umbrella
dibujos,cartoon
vaso,glass
libro,book
peine,comb
cuarto,room
familia,family
abrigo,coat
revista,magazine
uno,one
nivel,level
